,imdb_title_id,weighted_average_vote,total_votes
516,tt0017338,6.0,103
517,tt0017350,7.7,1542
518,tt0017354,6.5,136
519,tt0017374,5.8,126
520,tt0017378,6.7,283
521,tt0017382,6.8,245
522,tt0017409,7.0,317
523,tt0017410,6.2,167
524,tt0017416,6.6,1788
525,tt0017419,6.2,206
526,tt0017423,7.3,1148
527,tt0017437,6.7,766
528,tt0017438,6.9,573
529,tt0017448,7.1,1945
530,tt0017449,6.9,1066
531,tt0017463,7.5,1010
532,tt0017480,6.9,691
533,tt0017483,6.1,604
534,tt0017519,6.6,122
535,tt0017534,6.4,1722
536,tt0017540,6.8,347
537,tt0017567,7.0,690
538,tt0017619,7.5,339
539,tt0017621,6.2,285
540,tt0017632,5.9,355
541,tt0017653,7.1,196
542,tt0017662,7.0,186
543,tt0017667,6.9,701
544,tt0017726,6.4,106
545,tt0017735,6.8,228
546,tt0017736,6.8,171
547,tt0017739,7.1,2654
548,tt0017750,7.1,374
549,tt0017751,6.6,213
550,tt0017765,7.1,4268
551,tt0017809,7.2,599
552,tt0017825,6.1,2082
553,tt0017832,4.8,206
554,tt0017843,5.7,2465
555,tt0017860,5.6,710
556,tt0017886,6.4,193
557,tt0017918,6.9,284
558,tt0017925,8.1,78769
559,tt0017928,6.7,162
560,tt0017938,7.0,759
561,tt0017961,7.4,919
562,tt0017998,7.1,237
563,tt0018014,6.6,210
564,tt0018016,6.4,185
565,tt0018033,7.3,2912
566,tt0018037,6.5,8866
567,tt0018045,6.8,263
568,tt0018051,7.6,3747
569,tt0018054,7.2,1890
570,tt0018066,7.3,1494
571,tt0018087,7.3,660
572,tt0018097,6.8,1161
573,tt0018102,6.3,431
574,tt0018107,6.9,885
575,tt0018113,6.1,764
576,tt0018138,5.9,356
577,tt0018166,6.7,390
578,tt0018179,6.4,525
579,tt0018183,7.4,787
580,tt0018192,8.1,6864
581,tt0018217,7.5,6877
582,tt0018218,6.4,316
583,tt0018235,6.8,119
584,tt0018247,6.3,110
585,tt0018253,5.8,468
586,tt0018268,6.3,103
587,tt0018297,6.4,733
588,tt0018311,6.6,1342
589,tt0018328,6.2,3088
590,tt0018351,7.0,188
591,tt0018362,6.2,327
592,tt0018379,7.6,3098
593,tt0018389,5.6,141
594,tt0018392,7.1,352
595,tt0018397,6.9,498
596,tt0018413,4.0,481
597,tt0018440,6.0,884
598,tt0018451,7.6,1335
599,tt0018453,6.3,103
600,tt0018455,8.1,46069
601,tt0018464,5.5,126
602,tt0018471,6.9,1422
603,tt0018484,6.1,105
604,tt0018487,5.8,465
605,tt0018505,7.4,1034
606,tt0018513,5.2,551
607,tt0018515,6.7,888
608,tt0018523,6.8,761
609,tt0018524,6.7,379
610,tt0018526,7.6,2545
611,tt0018528,7.8,6992
612,tt0018530,6.2,248
613,tt0018566,6.8,308
614,tt0018578,7.5,11139
615,tt0018579,3.1,105
616,tt0018588,6.7,200
617,tt0018600,6.3,106
618,tt0018615,7.0,291
619,tt0018618,6.0,948
620,tt0018678,6.5,395
621,tt0018684,7.5,945
622,tt0018722,4.9,134
623,tt0018737,7.9,9541
624,tt0018742,8.1,10101
625,tt0018749,6.2,810
626,tt0018756,5.6,1968
627,tt0018770,7.3,3369
628,tt0018773,8.1,27414
629,tt0018795,6.5,614
630,tt0018826,6.8,149
631,tt0018836,6.7,336
632,tt0018839,7.5,3860
633,tt0018841,7.3,561
634,tt0018862,6.9,121
635,tt0018876,5.9,2434
636,tt0018879,5.9,151
637,tt0018882,7.0,152
638,tt0018907,6.3,134
639,tt0018908,6.9,261
640,tt0018909,7.1,623
641,tt0018910,3.9,307
642,tt0018927,6.8,341
643,tt0018935,6.7,234
644,tt0018937,6.6,630
645,tt0018972,6.6,394
646,tt0018990,6.9,154
647,tt0018996,6.0,116
648,tt0019043,7.1,305
649,tt0019067,6.9,402
650,tt0019071,8.0,3282
651,tt0019074,7.6,1684
652,tt0019096,5.7,735
653,tt0019098,6.1,636
654,tt0019109,7.8,1982
655,tt0019127,6.8,174
656,tt0019130,7.7,5711
657,tt0019151,6.8,510
658,tt0019152,6.8,343
659,tt0019182,5.3,116
660,tt0019186,6.5,176
661,tt0019195,7.2,1151
662,tt0019237,6.7,1501
663,tt0019254,8.1,45823
664,tt0019258,7.5,2330
665,tt0019286,7.1,1803
666,tt0019290,6.4,228
667,tt0019304,6.7,1099
668,tt0019312,6.8,102
669,tt0019325,6.0,168
670,tt0019335,3.5,123
671,tt0019344,7.2,2519
672,tt0019374,7.0,229
673,tt0019379,7.6,3458
674,tt0019388,6.2,206
675,tt0019400,6.2,976
676,tt0019412,7.7,3178
677,tt0019415,7.6,3062
678,tt0019421,7.9,12809
679,tt0019429,7.4,2090
680,tt0019434,6.1,239
681,tt0019451,6.8,347
682,tt0019462,6.0,227
683,tt0019480,6.5,213
684,tt0019489,6.9,353
685,tt0019509,7.3,413
686,tt0019532,6.6,346
687,tt0019553,6.5,131
688,tt0019557,6.1,376
689,tt0019558,7.5,1508
690,tt0019563,7.2,1582
691,tt0019571,6.3,151
692,tt0019574,6.9,756
693,tt0019585,8.0,5980
694,tt0019591,7.2,1355
695,tt0019609,6.9,116
696,tt0019611,7.1,819
697,tt0019629,7.0,188
698,tt0019630,5.8,661
699,tt0019644,7.0,1266
700,tt0019646,7.6,854
701,tt0019649,7.3,1805
702,tt0019655,7.4,1328
703,tt0019658,5.5,187
704,tt0019684,4.9,386
705,tt0019690,5.4,203
706,tt0019699,5.6,258
707,tt0019702,7.0,9412
708,tt0019725,6.2,339
709,tt0019726,6.4,119
710,tt0019729,5.7,6327
