Type,,Air,Air,Water,Water
Info,,AirQuality,AirPollution,WaterQuality,WaterPollution
 Brazil,Sao Jose dos Campos,69.0,31.0,73.52941176470588,26.47058823529412
 Brazil,Sao Leopoldo,75.0,25.0,0.0,100.0
 Brazil,Sao Luis,50.0,50.0,0.0,100.0
 Brazil,Sao Paulo,24.056603773584907,75.94339622641509,26.28205128205127,73.71794871794873
 Brazil,Serra,25.0,75.0,25.0,75.0
 Brazil,Sorocaba,53.57142857142857,46.42857142857143,58.33333333333333,41.66666666666667
 Brazil,Teixeira de Freitas,25.0,75.0,0.0,100.0
 Brazil,Teresina,75.0,25.0,25.0,75.0
 Brazil,Teresopolis,75.0,25.0,0.0,100.0
 Brazil,Uberlandia,87.5,12.5,62.5,37.5
 Brazil,Viamao,100.0,0.0,50.0,50.0
 Brazil,Vila Velha,33.333333333333336,66.66666666666666,58.33333333333333,41.66666666666667
 Brazil,Vitoria,34.61538461538461,65.38461538461539,44.99999999999999,55.00000000000001
 Brazil,Volta Redonda,50.0,50.0,50.0,50.0
 Brunei,Bandar Seri Begawan,82.95454545454545,17.045454545454547,51.13636363636363,48.86363636363637
 Brunei,Kuala Belait,12.5,87.5,0.0,100.0
 Bulgaria,Asenovgrad,25.0,75.0,100.0,0.0
 Bulgaria,Bansko,100.0,0.0,100.0,0.0
 Bulgaria,Blagoevgrad,47.5,52.5,75.0,25.0
 Bulgaria,Burgas,46.42857142857143,53.57142857142857,53.26086956521739,46.73913043478261
 Bulgaria,Dimitrovgrad,12.5,87.5,50.0,50.0
 Bulgaria,Dobrich,37.5,62.5,0.0,100.0
 Bulgaria,Haskovo,25.0,75.0,75.0,25.0
 Bulgaria,Kardzhali,40.0,60.0,50.0,50.0
 Bulgaria,Kyustendil,62.5,37.5,50.0,50.0
 Bulgaria,Lovech,37.5,62.5,50.0,50.0
 Bulgaria,Montana,20.0,80.0,50.0,50.0
 Bulgaria,Pazardzhik,25.0,75.0,50.0,50.0
 Bulgaria,Pernik,25.0,75.0,100.0,0.0
 Bulgaria,Pleven,17.857142857142854,82.14285714285714,0.0,100.0
 Bulgaria,Plovdiv,31.41025641025641,68.58974358974359,63.70967741935484,36.29032258064516
 Bulgaria,Ruse,21.42857142857143,78.57142857142857,50.0,50.0
 Bulgaria,Samokov,50.0,50.0,50.0,50.0
 Bulgaria,Shumen,28.57142857142857,71.42857142857143,25.0,75.0
 Bulgaria,Silistra,100.0,0.0,50.0,50.0
 Bulgaria,Sliven,53.57142857142857,46.42857142857143,91.66666666666667,8.333333333333332
 Bulgaria,Smolyan,100.0,0.0,50.0,50.0
 Bulgaria,Sofia,23.621323529411764,76.37867647058823,59.056603773584904,40.943396226415096
 Bulgaria,Stara Zagora,61.11111111111112,38.88888888888888,95.0,4.999999999999999
 Bulgaria,Varna,40.10416666666667,59.89583333333333,51.111111111111114,48.888888888888886
 Bulgaria,Veliko Tarnovo,62.5,37.5,68.75,31.25
 Bulgaria,Vratsa,35.714285714285715,64.28571428571428,25.0,75.0
 Bulgaria,Yambol,55.00000000000001,44.99999999999999,62.5,37.5
 Burundi,Bujumbura,50.0,50.0,25.0,75.0
 Burundi,Cankuzo,0.0,100.0,0.0,100.0
 Cambodia,Battambang,66.66666666666666,33.33333333333334,50.0,50.0
 Cambodia,Kampong Chhnang,100.0,0.0,50.0,50.0
 Cambodia,Kampot,62.5,37.5,50.0,50.0
 Cambodia,Phnom Penh,26.06382978723404,73.93617021276596,29.166666666666657,70.83333333333334
 Cambodia,Siem Reap,60.0,40.0,5.0,95.0
 Cambodia,Sihanoukville,25.0,75.0,13.63636363636364,86.36363636363636
 Cameroon,Bafoussam,0.0,100.0,50.0,50.0
 Cameroon,Bamenda,15.000000000000002,85.0,7.142857142857139,92.85714285714286
 Cameroon,Douala,40.0,60.0,20.83333333333333,79.16666666666667
 Cameroon,Kumba,75.0,25.0,50.0,50.0
 Cameroon,Yaounde,14.0625,85.9375,11.36363636363636,88.63636363636364
 Canada,Abbotsford,64.28571428571428,35.71428571428572,63.541666666666664,36.458333333333336
 Canada,Airdrie,62.5,37.5,75.0,25.0
 Canada,Ajax,87.5,12.5,61.36363636363637,38.63636363636363
 Canada,Arnprior,100.0,0.0,75.0,25.0
 Canada,Aurora,50.0,50.0,62.5,37.5
 Canada,Banff,100.0,0.0,100.0,0.0
 Canada,Barrie,83.82352941176471,16.17647058823529,70.83333333333334,29.166666666666664
 Canada,Bathurst,95.0,5.0,50.0,50.0
 Canada,Beaverlodge,100.0,0.0,50.0,50.0
 Canada,Belleville,88.88888888888889,11.111111111111114,80.0,20.0
 Canada,Boisbriand,75.0,25.0,75.0,25.0
 Canada,Bowmanville,0.0,100.0,0.0,100.0
 Canada,Brampton,70.83333333333334,29.166666666666657,60.11904761904761,39.88095238095239
 Canada,Brandon,85.0,15.0,60.0,40.0
 Canada,Brantford,75.0,25.0,56.666666666666664,43.333333333333336
 Canada,Bridgewater,100.0,0.0,100.0,0.0
 Canada,Brossard,100.0,0.0,50.0,50.0
 Canada,Burlington,91.25,8.75,64.0625,35.9375
 Canada,Burnaby,77.77777777777779,22.222222222222214,58.92857142857143,41.07142857142857
 Canada,Burns Lake,100.0,0.0,50.0,50.0
 Canada,Calgary,80.0,20.0,75.1497005988024,24.850299401197606
 Canada,Cambridge,63.46153846153846,36.53846153846154,44.23076923076923,55.76923076923077
 Canada,Campbell River,100.0,0.0,100.0,0.0
 Canada,Campbellton,75.0,25.0,100.0,0.0
 Canada,Canmore,100.0,0.0,75.0,25.0
 Canada,Charlottetown,97.5,2.5,80.0,20.0
 Canada,Chateauguay,100.0,0.0,100.0,0.0
 Canada,Chatham-Kent,60.0,40.0,75.0,25.0
 Canada,Chilliwack,79.54545454545455,20.454545454545453,83.33333333333333,16.666666666666668
 Canada,Cold Lake,96.875,3.125,62.5,37.5
 Canada,Comox,87.5,12.5,50.0,50.0
 Canada,Coquitlam,80.95238095238095,19.04761904761905,69.11764705882354,30.88235294117647
 Canada,Corner Brook,93.75,6.25,100.0,0.0
 Canada,Cornwall,96.42857142857144,3.571428571428555,50.0,50.0
